"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GME00102404","1941","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       153","E","        74","E","         1","E","","","","","","","","","","","","","","","","","  26.4"," ,E,0812, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    730.4"," ,E","","","","","",""
"GME00102404","1942","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       136","E","        77","E","         3","E","","","","","","","","","","","","","","","","","  29.5"," ,E,0803, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    765.3"," ,E","","","","","",""
"GME00102404","1943","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       122","E","        58","E","         0","E","","","","","","","","","","","","","","","","","  21.1"," ,E,0604, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    521.1"," ,E","","","","","",""
"GME00102404","1944","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       153","E","        83","E","         5","E","","","","","","","","","","","","","","","","","  51.3"," ,E,1107, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    841.8"," ,E","","","","","",""
"GME00102404","1945","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       152","E","        93","E","         1","E","","","","","","","","","","","","","","","","","  38.5"," ,E,0808, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    757.8"," ,E","","","","","",""
"GME00102404","1946","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       138","E","        73","E","         5","E","","","","","","","","","","","","","","","","","  52.3"," ,E,0613, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    768.6"," ,E","","","","","",""
"GME00102404","1947","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       132","E","        75","E","         2","E","","","","","","","","","","","","","","","","","  52.6"," ,E,0515, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    716.0"," ,E","","","","","",""
"GME00102404","1948","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       125","E","        74","E","         0","E","","","","","","","","","","","","","","","","","  23.8"," ,E,0619, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    630.6"," ,E","","","","","",""
"GME00102404","1949","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       130","E","        57","E","         0","E","","","","","","","","","","","","","","","","","  17.7"," ,E,0512, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    457.5"," ,E","","","","","",""
"GME00102404","1950","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       147","E","        90","E","         2","E","","","","","","","","","","","","","","","","","  43.8"," ,E,1125, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    816.3"," ,E","","","","","",""
